0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00268,HK.00354,HK.00909,HK.01490,HK.01588,HK.01739,HK.01753,HK.01860,HK.01948,HK.02013,HK.02101,HK.02131,HK.02158,HK.03738,HK.03888,HK.06608,HK.06988,HK.08083,HK.09600,HK.09923,HK.09959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00777,HK.01769,HK.01797,HK.03978,HK.09901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00881,HK.01268,HK.01293,HK.01365,HK.01728,HK.03669,HK.03836,HK.06909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00001,HK.00003,HK.00006,HK.00011,HK.00016,HK.00027,HK.00066,HK.00175,HK.00220,HK.00288,HK.00291,HK.00386,HK.00388,HK.00669,HK.00688,HK.00700,HK.00788,HK.00823,HK.00857,HK.00874,HK.00883,HK.00939,HK.00941,HK.00960,HK.01060,HK.01093,HK.01109,HK.01113,HK.01177,HK.01288,HK.01299,HK.01339,HK.01398,HK.01810,HK.01918,HK.01928,HK.01997,HK.02007,HK.02020,HK.02202,HK.02269,HK.02313,HK.02318,HK.02319,HK.02382,HK.02388,HK.02601,HK.02628,HK.02688,HK.03690,HK.03968,HK.03988,HK.06030,HK.09988,,,,,,,,,,,,,,,,,,,,,,
HK.00187,HK.00189,HK.00729,HK.00951,HK.01072,HK.01165,HK.01211,HK.02338,HK.02727,HK.03899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00489,HK.01458,HK.01810,HK.06869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01164,HK.01811,HK.01816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00178,HK.00653,HK.00973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00002,HK.00003,HK.00006,HK.02638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00135,HK.00386,HK.00702,HK.00857,HK.00883,HK.02883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
